万年青		强心利尿、清热解毒、止血的功效
昆布		软坚散结、消痰、利水的功效，临床用于治疗瘿瘤、瘰疬、睾丸肿痛、痰饮水肿
杠板归		利水消肿、清热、活血、解毒的功效，临床用于治疗水肿、黄疸、泄泻等
栀子		泻火除烦、清热利尿、凉血解毒的功效，临床用于治疗热病心烦、黄疸尿赤、血淋涩痛、血热吐衄、目赤肿痛、火毒疮疡，外治扭挫伤痛凉血止血的功效，用于血热吐衄、尿血崩漏
桑枝		祛风湿、利关节的功效，临床用于治疗肩臂、关节酸痛麻木
桑白皮		泻肺平喘、利水消肿的功效，临床用于治疗肺热喘咳、水肿胀满尿少、面目肌肤浮肿
毛茛		利湿退黄、温寒止痛、通滞的功效，临床用于治疗疟疾、黄疸等
水浮莲		凉血、活血、利尿除湿的功效
水红花子		散血消癥、消积止痛的功效，临床用于治疗癥瘕痞块、瘿瘤肿痛、食积不消、胃脘胀痛
泽泻		利小便、清湿热的功效，临床用于治疗小便不利、水肿胀满、泄泻尿少、痰饮眩晕、热淋涩痛、高血脂
泽漆		利水消肿、消痰、杀虫、清热解毒的功效，临床用于治疗水气、肿满等
海金沙		清利湿热、通淋止痛的功效，临床用于治疗热淋、砂淋、石淋、血淋、膏淋、尿道涩痛
淡竹		清心火、除烦热、利小便的功效
淡竹叶		清心除烦、利尿的功效，用于热病烦渴、小便赤涩淋痛、口舌生疮
滑石		利尿通淋、清热解毒、祛湿敛疮的功效，临床用于治疗热淋、石淋、尿热涩痛、暑热烦渴、湿热水泻，外治湿疹、湿疮、痱子
滑石粉		利尿通淋、清热解毒、祛湿敛疮的功效，临床用于治疗热淋、石淋、尿热涩痛、暑热烦渴、湿热水泻，外治湿疹、湿疮、痱子
灯心草		清心火、利小便的功效，临床用于治疗心烦失眠、尿少涩痛、口舌生疮
牵牛		利水消肿的功效
独行菜		为十字花科独行菜属植物，其干燥成熟种子为中药葶苈子。
猕猴桃		清热解毒、利尿通淋、健胃和中的功效，临床用于治疗烦热、消渴等
猪苓		利水渗湿的功效，用于小便不利、水肿、泄泻、淋浊、带下
猪鬃草		清热、祛风利尿、消肿的功效，临床用于治疗咳嗽吐血、风湿痹痛
玉米须		利尿、泄热、平肝、利胆的功效，临床用于治疗肾炎水肿、脚气、黄疸肝炎等
甜瓜子		散结、消瘀、清肺、润肠的功效，临床用于治疗腹内结聚、肠痈等
番木瓜		消炎退肿的功效，临床用于治疗胃病等
白茅根		凉血止血、清热利尿的功效，临床用于治疗血热吐血、衄血、尿血、热病烦渴、黄疸、水肿、热淋涩痛、急性肾炎水肿
白薇		清热凉血、利尿通淋、解毒疗疮的功效，临床用于治疗温邪伤营发热、阴虚发热、骨蒸劳热、产后血虚发热、热淋、血淋、痈疽肿毒
瞿麦		利尿通淋、破血通经的功效，临床用于治疗热淋、血淋、石淋、小便不通、淋沥涩痛、月经闭止
石韦		利尿通淋、清热止血的功效，临床用于治疗热淋、血淋、石淋、小便不通、淋沥涩痛、吐血、衄血、尿血、崩漏、肺热喘咳
穿山甲		通经下乳、消肿排脓、搜风通络的功效，临床用于治疗经闭癥瘕、乳汁不通、痈肿疮毒、关节痹痛、麻木拘挛
粉萆薢		利湿去浊、祛风除痹的功效，用于治疗膏淋、白浊、白带过多、风湿痹痛、关节不利、腰膝疼痛
绵萆薢		利湿祛浊、祛风通痹的功效，临床用于治疗淋病白浊、白带过多、湿热疮毒、腰膝痹痛
苍术		燥湿健脾、祛风散寒、明目的功效，临床用于治疗脘腹胀满、泄泻、水肿、脚气痿躄、风湿痹痛、风寒感冒、夜盲
茵陈		清湿热、退黄疸的功效，临床用于治疗湿热尿少、温疮瘙痒、传染性黄疸型肝炎
茶叶		清利头目、除烦止渴、利尿、清热解毒、下气消食、化痰的功效，临床用于治疗心烦口渴等
菊苣		清肝利胆、健胃消食、利尿消肿的功效，临床用于治疗湿热黄疸、胃痛食少、水肿尿少
菝葜		祛风利湿、解毒散瘀功效，用于筋骨酸痛、小便淋漓、带下量多、疔疮痈肿
萆薢		利水、祛风利湿的功效
萝卜		祛湿利水、消食的功效
萹蓄		利尿通淋、杀虫、止痒的功效，临床用于治疗膀胱热淋、小便短赤、淋沥涩痛、皮肤湿疹、阴痒带下
葎草		清热解毒、利尿消瘀的功效，临床用于治疗淋病、小便不利等
葫芦		祛湿利水的功效
葶苈子		泻肺平喘、行水消肿的功效，临床用于治疗痰涎壅肺、喘咳痰多、胸胁胀满、不得平卧、胸腹水肿、小便不利、肺原性心脏病水肿
薏苡仁		健脾渗湿、除痹止泻、清热排脓的功效，临床用于治疗水肿、脚气、小便不利、湿痹拘挛、脾虚泄泻、肺痈、肠痈、扁平疣
蝼蛄		利水、通便的功效
西瓜皮		清热解暑、止渴、利小便的功效，临床用于治疗暑热烦渴等
豌豆		和中下气、利小便、解疮毒的功效，临床用于治疗霍乱、脚气、痈肿
赤小豆		利水消肿、解毒排脓的功效，临床用于治疗水肿胀满、脚气肢肿、黄疸尿赤、风湿热痹、痈肿疮毒、肠痈腹痛
路路通		祛风活络、利水通经的功效，临床用于治疗关节痹痛、麻木拘挛、水肿胀满、乳少经闭
车前		清热利尿、祛痰、凉血、解毒的功效，临床用于治疗淋证等
车前子		清热利尿、渗湿通淋、明目、祛痰的功效，临床用于治疗水肿胀满、热淋涩痛、暑湿泄泻、目赤肿痛、痰热咳嗽
车前草		清热利尿、祛痰、凉血、解毒的功效，临床用于治疗水肿尿少、热淋涩痛、暑湿泻痢、痰热咳嗽、吐血衄血、痈肿疮毒
轻粉		为氯化亚汞，外用杀虫、攻毒、敛疮，内服祛痰消积、逐水通便，外治用于疥疮、顽癣、臁疮、梅毒、疮疡、湿疹，内服用于痰涎积滞、水肿臌胀、二便不利。
连钱草		利湿通淋、清热解毒、散瘀消肿的功效，临床用于治疗热淋、石淋、湿热黄疸、疮痈肿痛、跌扑损伤
通草		清热利尿、通气下乳的功效，临床用于治疗湿热尿赤、淋病涩痛、水肿尿少、乳汁不下
郁李仁		润燥滑肠、下气、利水的功效，临床用于治疗津枯肠燥、食积气滞、腹胀便秘、水肿、脚气、小便不利
金针菜		利湿热、宽胸膈的功效
金钱草		清利湿热、通淋、消肿的功效，临床用于治疗热淋、沙淋、尿涩作痛、黄疸尿赤、痈肿疔疮、毒蛇咬伤、肝胆结石、尿路结石
防己		利水消肿、祛风止痛的功效，临床用于治疗水肿脚气、小便不利、湿疹疮毒、风湿痹痛、高血压
陆英		祛风除湿的功效，临床用于治疗风湿痹痛、脚气、皮肤瘙痒
青风藤		祛风湿、通经络、利小便的功效，临床用于治疗风湿痹痛、关节肿胀、麻痹瘙痒
预知子		舒肝理气、活血止痛、利尿、杀虫的功效，临床用于治疗脘胁胀痛、经闭痛经、小便不利、蛇虫咬伤
香加皮		祛风湿、强筋骨的功效，临床用于治疗风寒湿痹、腰膝酸软、心悸气短、下肢浮肿
鱼腥草		清热解毒、消痈排肿、利尿通淋的功效，临床用于治疗肺痈吐脓、痰热喘咳、热痢、热淋、痈肿疮毒
鸭跖草		清热解毒、利水消肿的功效；用于治疗风热感冒、高热不退、咽喉肿痛、水肿尿少、热淋涩痛、痈肿疔毒
黄瓜		清热解毒、利水消肿的功效，临床用于治疗咽喉肿痛等
黑大豆		活血、利水、祛风、解毒、明目退翳的功效，临床用于治疗水肿胀满等
龙须藤		清热解毒、利尿通淋、祛风止痛的功效，临床用于治疗咽喉肿痛等
佩兰		芳香化湿、醒脾开胃、发表解暑的功效，临床用于治疗湿浊中阻、脘痞呕恶、口中甜腻、口臭、多涎、暑湿表证、头胀胸闷
厚朴		燥湿消痞、下气除满的功效，临床用于治疗湿滞伤中、脘痞吐泻、食积气滞、腹胀便秘、痰饮喘咳
厚朴花		理气，化湿的功效，临床用于治疗胸脘痞闷胀满、纳谷不香
广藿香		芳香化浊、开胃止呕、发表解暑的功效，临床用于治疗湿浊中阻、脘痞呕吐、暑湿倦怠、胸闷不舒、寒湿闭暑、腹痛吐泻
木瓜		平肝舒筋、和胃化湿的功效，临床用于治疗湿痹拘挛、腰膝关节酸重疼痛、吐泻转筋、脚气水肿
瓜蒂		涌吐、去湿热、行水消肿的功效，临床用于治疗痰涎宿食等
砂仁		化湿开胃、温脾止泻、理气安胎的功效，用于湿浊中阻、脘痞不饥、脾胃虚寒、呕吐泄泻、妊娠恶阻、胎动不安
罗勒		疏风行气、化湿消食、活血、解毒的功效，临床用于治疗外感头痛等
三叶草		止咳平喘的功效，临床用于治疗咳嗽等
八厘麻		降压、驱风除湿、化痰止咳、散瘀止痛的功效，临床用于治疗风寒湿痹等
兴安杜鹃		止咳祛痰作用，临床用于治疗急、慢性支气管炎
千日红		清肝、散结、止咳定喘的功效，临床用于治疗头风、目痛等
南天竹		清热燥湿、止咳平喘的功效
吉祥草		清肺止咳、止血、解毒的功效
川贝母		清热润肺、化痰止咳的功效，临床用于治疗肺热燥咳、干咳少痰、阴虚劳嗽、咯痰带血
平贝母		清热润肺、化痰止咳的功效，临床用于治疗肺热燥咳、干咳少痰、阴虚劳嗽、咳痰带血
暴马丁香		清肺祛痰、平喘消炎、利尿的功效，临床用于治疗咳嗽、痰鸣喘嗽、痰多、气管炎、支气管哮喘、心脏性浮肿等症
木芙蓉		清热燥湿、止咳化痰的功效，临床用于治疗痈肿等
松塔		止咳化痰的功效，临床用于治疗慢性气管炎、咳嗽等
枇杷		润肺、止渴、下气的功效，临床用于治疗肺痿咳嗽吐血、衄血等
枇杷叶		清肺止咳、降逆止呕的功效，临床用于治疗肺热咳嗽、气逆喘急、胃热呕逆、烦热口渴
柚		理气宽中、化痰止咳、解酒毒的功效，临床用于治疗妊娠恶阻、气滞胃痛等
桑白皮		泻肺平喘、利水消肿的功效，临床用于治疗肺热喘咳、水肿胀满尿少、面目肌肤浮肿
款冬花		润肺下气、止咳化痰的功效，临床用于治疗新久咳嗽、喘咳痰多、劳嗽咳血
沙棘		止咳祛痰、消食化滞、活血散瘀的功效，临床用于治疗咳嗽痰多、消化不良、食积腹痛、瘀血经闭、跌扑瘀肿
浙贝母		清热散结、化痰止咳的功效，用于风热犯肺、痰火咳嗽、肺痈、乳痈、瘰疬、疮毒
满山红		止咳、祛痰的功效，临床用于治疗慢性支气管炎
烈香杜鹃		宣肺止咳、祛痰平喘的功效，临床用于治疗伤风咳嗽
牛蒡		清肺止咳、清热解毒、清肝熄风、软坚散结的功效，临床用于治疗风毒面肿、头晕等
牡荆		解肌发汗、祛风、化痰的功效，临床用于治疗感冒等
牡荆叶		祛痰、止咳、平喘的功效，临床用于治疗咳喘、慢性支气管炎
猫眼草		祛痰平喘、利水渗湿的功效，临床用于治疗咳嗽等
瓜子金		化痰止咳、活血止血、安神、清热解毒的功效，临床用于治疗咳嗽、失眠等
白屈菜		镇痛、止咳、利尿解毒的功效，临床用于治疗胃肠疼痛、黄疸等
白果		敛肺定喘、止带浊、缩小便的功效，临床用于治疗痰多喘咳、带下白浊、遗尿、尿频
白毛夏枯草		止咳化痰、清热、凉血、消肿、解毒的功效，临床用于治疗气管炎等
百部		润肺下气止咳、杀虫的功效，临床用于治疗新久咳嗽、肺痨咳嗽、百日咳，外用于头虱、体虱、蛲虫病、阴痒
矮地茶		化痰止咳、利湿、活血的功效，临床用于治疗新久咳嗽、痰中带血、湿热黄疸、跌打损伤
紫花杜鹃		镇咳、祛痰的功效，临床用于治疗慢性气管炎
紫菀		润肺下气、消痰止咳的功效，临床用于治疗痰多喘咳、新久咳嗽、劳嗽咳血
绞股蓝		消炎解毒、止咳祛痰的功效，临床用于治疗慢性气管炎
罂粟壳		敛肺、涩肠、定痛的功效，临床用于治疗久咳、久泻、脱肛、脘腹疼痛
胡颓子		收敛止遗、止咳平喘、健脾消积、清热利咽的功效，临床用于治疗泻痢等
苦杏仁		降气止咳平喘、润肠通便的功效，临床用于治疗咳嗽气喘、胸满痰多、血虚津枯、肠燥便秘
葶苈子		泻肺平喘、行水消肿的功效，临床用于治疗痰涎壅肺、喘咳痰多、胸胁胀满、不得平卧、胸腹水肿、小便不利、肺原性心脏病水肿
西番莲		除风清热、止咳化痰的功效，临床用于治疗风热头晕、鼻塞流涕
通光散		清热解毒、止咳平喘、通络催乳、活血生肌的功效，临床用于治疗肺炎、支气管炎、支气管哮喘等
野马追		清热解毒、祛痰、定喘、降血压的功效，临床用于治疗慢性气管炎、支气管炎、高血压病
钟乳石		温肺、助阳、平喘、制酸、通乳的功效，临床用于治疗寒痰喘咳、阳虚冷喘、腰膝冷痛、胃痛泛酸、乳汁不通
铁包金		化瘀止血、祛风胜湿、消肿解毒的功效，临床用于治疗肺痨久咳、风湿疼痛等
银杏叶		敛肺、平喘、活血化瘀、止痛的功效，临床用于治疗肺虚咳喘、冠心病、心绞痛、高脂血症
香橼		舒肝理气、宽中、化痰的功效，临床用于治疗肝胃气滞、胸胁胀痛、脘腹痞满、呕吐噫气、痰多咳嗽
马兜铃		清肺降气、止咳平喘、清肠消痔的功效，临床用于治疗肺热喘咳、痰中带血、肠热痔血、痔疮肿痛
鼠曲草		化痰、止咳、祛风寒的功效，临床用于治疗咳嗽痰多、气喘等
五指毛桃		健脾补肺、行气利湿、化痰的功效，临床用于治疗肺痨咳嗽、盗汗等
余甘子		清热凉血、消食健胃、生津止咳功效，临床用于治疗血热血瘀、消化不良、腹胀、咳嗽、喉痛、口干，多入丸散服
兰香草		祛风除湿、止咳散瘀的功效，临床用于治疗感冒发热等
前胡		散风清热、降气化痰的功效，临床用于治疗风热咳嗽痰多、痰热喘满、咯痰黄稠
化橘红		散寒、燥湿、利气、消痰的功效，临床用于治疗风寒咳嗽、喉痒痰多、食积伤酒、呕恶痞闷
半夏		燥湿化痰、降逆止呕、消痞散结的功效，临床用于治疗痰多咳喘、痰饮眩悸、风痰眩晕、痰厥头痛、呕吐反胃、胸脘痞闷、梅核气，生用外治痈肿痰核
天南星		燥湿化痰、祛风止痉、散结消肿的功效，用于顽痰咳嗽、风痰眩晕、中风痰壅、口眼歪斜、半身不遂、癫痫、惊风、破伤风，生用外治痈肿、蛇虫咬伤
射干		清热解毒、消痰、利咽的功效，用于热毒痰火郁结、咽喉肿痛、痰涎壅盛、咳嗽气喘等
山慈菇		清热解毒、化痰散结功效，用于痈肿疔毒、瘰疬痰核、淋巴结结核、蛇虫咬伤
旋覆花		降气、消痰、行水、止呕的功效，临床用于治疗风寒咳嗽、痰饮蓄结、胸膈痞满、喘咳痰多、呕吐噫气、心下痞硬
枳实		破气消积、化痰散痞的功效，临床用于治疗积滞内停、痞满胀痛、泻痢后重、大便不通、痰滞气阻胸痹、结胸、胃下垂、脱肛、子宫脱垂
桔梗		宣肺、利咽、祛痰、排脓的功效，临床用于治疗咳嗽痰多、胸闷不畅、咽痛、音哑、肺痈吐脓、疮疡脓成不溃
橘红		散寒、燥湿、利气、消痰的功效，临床用于治疗风寒痰嗽、喉痒痰多、食积伤酒、呕恶痞闷
法半夏		燥湿化痰的功效，临床用于治疗痰多咳喘、痰饮眩晕、风痰眩晕、痰厥头痛
浮海石		化痰的功效
猪牙皂		祛痰开窍、散结消肿的功效，临床用于治疗中风口噤、昏迷不醒、癫痫痰盛、关窍不通、喉痹痰阻、顽痰喘咳、咯痰不爽、大便燥结，外治痈肿
瓜蒌		清热涤痰、宽胸散结、润燥滑肠的功效，临床用于肺热咳嗽、痰浊黄稠、结胸痞满、乳痈、肺痈、肠痈肿痛、大便秘结
瓜蒌子		润肺化痰、滑肠通便的功效，临床用于治疗燥咳痰黏、肠燥便秘
瓜蒌皮		清化热痰、利气宽胸的功效，临床用于治疗痰热咳嗽、胸闷胁痛
瓦楞子		消痰化瘀、软坚散结、制酸止痛的功效，临床用于治疗顽痰积结、黏稠难咯、瘿瘤、瘰疬、癥瘕痞块、胃痛泛酸
白前		降气、消痰、止咳的功效，临床用于治疗肺气壅实、咳嗽痰多、胸满喘急
白附子		祛风痰、定惊搐、解毒散结止痛的功效，临床用于治疗中风痰壅、口眼喎斜、语言涩謇，痰厥头痛，偏正头痛、喉痹咽痛、破伤风，外治瘰疬痰核、毒蛇咬伤
皂矾		燥湿化痰、消积杀虫、止血补血、解毒敛疮的功效
石蒜		祛痰、利尿解毒、催吐的功效
竹叶		清热除烦、生津利尿、化痰止咳、降逆止呕、疏风通络的功效
竹茹		清热化痰、除烦止呕的功效，临床用于治疗痰热咳嗽、胆火挟痰、烦热呕吐、惊悸失眠、中风痰迷、舌强不语、胃热呕吐、妊娠恶阻、胎动不安
胆南星		清火化痰、熄风定惊的功效，临床用于治疗痰热咳嗽、咯痰黄稠、中风痰迷、癫狂惊痫
金沸草		降气、消痰、行水的功效，临床用于治疗风寒咳嗽、痰饮蓄结、痰壅气逆、胸膈痞满、喘咳痰多，外治疔疮肿毒
陈皮		理气健脾、燥湿化痰的功效，临床用于治疗胸脘胀满、食少吐泻、咳嗽痰多
升药		搜脓拔毒、祛腐生肌的功效
土荆皮		杀虫止痒的功效，临床用于治疗疥癣
山竹子		消炎止痛、收敛生肌的功效，临床用于治疗烧伤、烫伤等
红粉		拔毒、除脓、去腐、生肌的功效
藤黄		消肿、化毒、止血、杀虫的功效，临床用于治疗痈疽肿毒等
西门肺草		为紫草科植物属，用于治疗外伤。含有尿囊素、胡萝卜素、配糖类、丹宁酸、三萜类、维生素B12和锌等。
铅丹		解毒祛腐、收湿敛疮、坠痰镇惊的作用
马钱子		通络止痛、散结消肿的功效，临床用于治疗风湿顽痹、麻木瘫痪、跌扑损伤、痈疽肿痛、小儿麻痹后遗症、类风湿性关节痛
鱼石脂		通络止痛、散结消肿的功效，临床用于治疗风湿顽痹、麻木瘫痪、跌扑损伤、痈疽肿痛、小儿麻痹后遗症、类风湿性关节痛
丹参		祛瘀止痛、活血通经、安神宁心、排脓、止痛的功效，临床用于治疗心绞痛等
人参叶		补气、益肺、祛暑、生津的功效，临床用于治疗气虚咳嗽、虚热烦躁、津伤口渴、头目不清、四肢倦乏
何首乌		解毒、消痈、润肠通便的功效，临床用于治疗瘰疬疮痈、风疹瘙痒、肠燥便秘、高血脂
华山参		平喘止咳、安神镇惊的功效，临床用于治疗寒痰喘咳、心悸失眠易惊
合欢皮		解郁安神、活血消肿的功效，临床用于治疗心神不安、忧郁失眠、肺痈疮肿、跌扑伤痛
合欢花		解郁安神的功效，临床用于治疗心神不安、忧郁失眠
含羞草		清热、安神、消积、解毒、止咳化痰、利湿通络、和胃消积的功效，临床用于治疗肠炎等
啤酒花		健胃消食、利尿消肿、养心安神的功效，临床用于治疗消化不良、浮肿、失眠等
广枣		行气活血、养心，安神的功效，临床用于治疗气滞血瘀、胸痹作痛，心悸气短，心神不安
朱砂		清心镇惊、安神解毒功效，用于心悸易惊、失眠多梦、癫痫发狂、小儿惊风、视物昏花、口疮、喉痹、疮疡肿毒
柏子仁		养心安神、止汗、润肠的功效，临床用于治疗虚烦失眠、心悸怔忡、阴虚盗汗、肠燥便秘
海星		安神功效
牛黄		清心、豁痰、开窍、凉肝、熄风、解毒的功效，临床用于治疗热病神昏、中风痰迷、惊痫抽搐、癫痫发狂、咽喉肿痛、口舌生疮、痈肿疔疮
牡蛎		重镇安神、潜阳补阴、软坚散结的功效，临床用于治疗惊悸失眠、眩晕耳鸣、瘰疬痰核、癥瘕痞块
珍珠		安神定惊、明目消翳、解毒生肌的功效，临床用于治疗惊悸失眠、惊风癫痫、目生云翳、疮疡不敛
琥珀		镇惊安神、散瘀止血、利水通淋的功效
百合		养阴润肺、清心安神的功效，临床用于治疗阴虚久咳、痰中带血、虚烦惊悸、失眠多梦、精神恍惚
磁石		平肝潜阳、聪耳明目、镇惊安神、纳气平喘的功效，用于头晕目眩、视物昏花、耳鸣耳聋、惊悸失眠、肾虚气喘
紫石英		镇心安神、温肺、暖宫的功效，用于失眠多梦、心悸易惊、肺虚咳喘、宫寒不孕
紫贝齿		清热、平肝安神、明目的功效
缬草		镇静安神、活血祛瘀、温经散寒的功效，临床用于治疗心神不安等
茯苓		利水渗湿、健脾宁心的功效，临床用于治疗水肿尿少、痰饮眩晕、脾虚食少、便溏泄泻、心神不安、惊悸失眠
莲子		补脾止泻、益肾涩精、养心安神的功效，临床用于治疗脾虚久泻、遗精带下、心悸失眠
蘑菇		安神、开胃、止泻、止吐的功效，临床用于治疗腹泻等
蚱蜢		安神、活血功效
蛇蜕		祛风、定惊、解毒、退翳的功效，临床用于治疗小儿惊痫、抽搐痉挛、翳障、喉痹、疔肿、皮肤瘙痒
西红花		活血化瘀、凉血解毒、解郁安神的功效，临床用于经闭癥瘕、产后瘀阻、温毒发斑、忧郁痞闷、惊悸发狂
远志		安神益智、祛痰、消肿的功效，临床用于治疗心肾不交引起的失眠多梦、健忘惊悸、神志恍惚、咳痰不爽、疮疡肿毒、乳房肿痛
酸枣仁		补肝、宁心、敛汗、生津的功效，临床用于治疗虚烦不眠、惊悸多梦、体虚多汗、津伤口渴
首乌藤		养血安神、祛风通络的功效，临床用于治疗失眠多梦、血虚身痛、风湿痹痛，外治皮肤瘙痒
龙骨		镇惊安神、敛汗固精、止血涩肠、生肌敛疮的功效
龙齿		镇惊安神、除烦热的功效，临床用于治疗惊痫、癫狂等
全蝎		熄风镇痉、攻毒散结、通络止痛的功效，临床用于治疗小儿惊风、抽搐痉挛、中风口?、半身不遂、破伤风、风湿顽痹、偏正头痛、疮疡、瘰疬
地精草		清肝熄风的功效，临床用于治疗肝风头痛、中风不语等
天仙子		解痉止痛、安神定喘的功效，临床用于治疗胃痉挛疼痛、喘咳、癫狂
天竺黄		清热豁痰、凉心定惊的功效，临床用于治疗热病神昏、中风痰迷、小儿痰热惊痫、抽搐、夜啼
天麻		平肝熄风止痉，用于头痛眩晕、肢体麻木、小儿惊风、癫痫抽搐、破伤风
旱芹		平肝清热、祛风利湿的功效，临床用于治疗高血压病、眩晕头痛等
木槿		清热止痢、解毒疗疮、清肺止咳、凉肝熄风、燥湿止痒的功效，临床用于治疗疔疮疖肿等
桑叶		疏散风热、清肺润燥、清肝明目的功效，临床用于治疗风热感冒、肺热燥咳、头晕头痛、目赤昏花
橹豆衣		平肝熄风功效
熊胆		清热、镇痉、明目、杀虫的功效，临床用于治疗热黄、暑泻、小儿惊痫等
牛黄		清心、豁痰、开窍、凉肝、熄风、解毒的功效，临床用于治疗热病神昏、中风痰迷、惊痫抽搐、癫痫发狂、咽喉肿痛、口舌生疮、痈肿疔疮
猪毛菜		清热平肝的功效，临床用于治疗高血压、头痛、肝阳上亢
珍珠母		平肝潜阳、定惊明目的功效，临床用于治疗头痛眩晕、烦燥失眠、肝热目赤、肝虚目昏
白附子		祛风痰、定惊搐、解毒散结止痛的功效，临床用于治疗中风痰壅、口眼喎斜、语言涩謇，痰厥头痛，偏正头痛、喉痹咽痛、破伤风，外治瘰疬痰核、毒蛇咬伤
石决明		平肝潜阳、清肝明目的功效，临床用于治疗头痛眩晕、目赤翳障、视物昏花、青盲雀目
磁石		平肝潜阳、聪耳明目、镇惊安神、纳气平喘的功效，用于头晕目眩、视物昏花、耳鸣耳聋、惊悸失眠、肾虚气喘
竹沥		清热滑痰、镇惊利窍的功效，临床用于治疗中风痰迷、肺热痰壅、惊风、癫痫等
罗布麻叶		平肝安神、清热利水的功效，临床用于治疗肝阳眩晕、心悸失眠、浮肿尿少、高血压、神经衰弱、肾炎水肿
羚羊角		平肝熄风、清肝明目、散血解毒的功效，临床用于治疗高热惊痫、神昏痉厥、子痫抽搐、癫痫发狂、头痛眩晕、目赤翳障、温毒发斑、痈肿疮毒
胆南星		清火化痰、熄风定惊的功效，临床用于治疗痰热咳嗽、咯痰黄稠、中风痰迷、癫狂惊痫
萝芙木		清风热、降肝火、消肿毒的功效，临床用于治疗感冒发热等
蒺藜		平肝解郁、活血祛风、明目、止痒的作用，临床用于治疗头痛眩晕、胸胁胀痛、乳闭乳痈、目赤翳障，风疹瘙痒
蜈蚣		熄风镇痉、攻毒散结、通络止痛的功效，用于小儿惊风、抽搐痉挛、中风口?、半身不遂、破伤风、风湿顽痹、疮疡、瘰疬、毒蛇咬伤
赭石		平肝潜阳、降逆、止血的功效，用于眩晕耳鸣、呕吐、噫气、呃逆、喘息、吐血、衄血、崩漏下血
重楼		清热解毒、消肿止痛、凉肝定惊的功效，临床用于治疗疔疮痈肿、咽喉肿痛、毒蛇咬伤、跌扑伤痛、惊风抽搐
金礞石		坠痰下气、平肝镇惊的功效，临床用于治疗顽痰胶结、咳逆喘急、癫痫发狂、烦躁胸闷、惊风抽搐
钩藤		清热平肝、熄风定惊的功效，临床用于治疗头痛眩晕、感冒夹惊、惊痫抽搐、妊娠子痫、高血压
长春花		平肝潜阳、抗肿瘤、镇静安神、利尿的功效，临床用于治疗高血压、恶性肿瘤等
青木香		平肝气痛、解毒消肿的功效，临床用于治疗眩晕头痛等
青礞石		坠痰下气、平肝镇惊的功效，临床用于治疗顽痰胶结、咳逆喘急、癫痫发狂、烦躁胸闷、惊风抽搐，多入丸散服
鳖甲		滋阴潜阳、软坚散结、退热除蒸的功效，临床用于治疗阴虚发热、劳热骨蒸、虚风内动、经闭、癥瘕、久疟疟母
九节菖蒲		开窍豁痰、祛风宣湿、健胃解毒的功效，临床用于治疗热病神昏谵语、癫痫痰厥
冰片		开窍醒神、清热止痛的功效，临床用于用于热病神昏、惊厥、中风痰厥、气郁暴厥、中恶昏迷、目赤、口疮、咽喉肿痛、耳道流脓
可可		开窍的功效
